state_district,bioguide_id,sortable_name,full_name,title,first_name,middle_name,last_name,suffix,official_name,formal_name,prior_congress,party,caucus,state_code,state,district,town,office_building,office_room,office_zip,office_zip_suffix,phone,last_elected_date,sworn_date
MO08,S001195,"SMITH,JASON","Smith, Jason",Mr.,Jason,,Smith,,Jason Smith,Mr. Smith of Missouri,116,R,R,MO,Missouri,8th,Salem,RHOB,2418,20515,2508,(202) 225-4404,20201103,20210103
MP00,S001177,"SABLAN,GREGORIO","Sablan, Gregorio",Mr.,Gregorio,Kilili Camacho,Sablan,,Gregorio Kilili Camacho Sablan,Mr. Sablan,116,D,D,MP,Northern Mariana Islands,Delegate,Saipan,RHOB,2267,20515,5201,(202) 225-2646,20201103,20210103
MS01,K000388,"KELLY,TRENT","Kelly, Trent",Mr.,Trent,,Kelly,,Trent Kelly,Mr. Kelly of Mississippi,116,R,R,MS,Mississippi,1st,Saltillo,RHOB,2243,20515,2401,(202) 225-4306,20201103,20210103
MS02,T000193,"THOMPSON,BENNIE","Thompson, Bennie",Mr.,Bennie,G.,Thompson,,Bennie G. Thompson,Mr. Thompson of Mississippi,116,D,D,MS,Mississippi,2nd,Bolton,RHOB,2466,20515,2402,(202) 225-5876,20201103,20210103
MS03,G000591,"GUEST,MICHAEL","Guest, Michael",Mr.,Michael,,Guest,,Michael Guest,Mr. Guest,116,R,R,MS,Mississippi,3rd,Brandon,CHOB,418,20515,2403,(202) 225-5031,20201103,20210103
MS04,P000601,"PALAZZO,STEVEN","Palazzo, Steven",Mr.,Steven,M.,Palazzo,,Steven M. Palazzo,Mr. Palazzo,116,R,R,MS,Mississippi,4th,Biloxi,RHOB,2349,20515,2404,(202) 225-5772,20201103,20210103
MT00,R000103,"ROSENDALE,MATTHEW","Rosendale, Matthew",Mr.,Matthew,M.,Rosendale,Sr.,"Matthew M. Rosendale, Sr.",Mr. Rosendale,0,R,R,MT,Montana,At Large,Glendive,LHOB,1037,20515,2600,(202) 225-3211,20201103,20210103
NC01,B001251,"BUTTERFIELD,G.","Butterfield, G.",Mr.,G.,K.,Butterfield,,G. K. Butterfield,Mr. Butterfield,116,D,D,NC,North Carolina,1st,Wilson,RHOB,2080,20515,3301,(202) 225-3101,20201103,20210103
NC02,R000305,"ROSS,DEBORAH","Ross, Deborah",Ms.,Deborah,K.,Ross,,Deborah K. Ross,Ms. Ross,0,D,D,NC,North Carolina,2nd,Raleigh,LHOB,1208,20515,3302,(202) 225-3032,20201103,20210103
NC03,M001210,"MURPHY,GREGORY","Murphy, Gregory",Mr.,Gregory,F.,Murphy,,Gregory F. Murphy,Mr. Murphy of North Carolina,116,R,R,NC,North Carolina,3rd,Greenville,CHOB,313,20515,3303,(202) 225-3415,20201103,20210103
NC04,P000523,"PRICE,DAVID","Price, David",Mr.,David,E.,Price,,David E. Price,Mr. Price of North Carolina,116,D,D,NC,North Carolina,4th,Chapel Hill,RHOB,2108,20515,3304,(202) 225-1784,20201103,20210103
NC05,F000450,"FOXX,VIRGINIA","Foxx, Virginia",Ms.,Virginia,,Foxx,,Virginia Foxx,Ms. Foxx,116,R,R,NC,North Carolina,5th,Banner Elk,RHOB,2462,20515,3305,(202) 225-2071,20201103,20210103
NC06,M001135,"MANNING,KATHY","Manning, Kathy",Ms.,Kathy,E.,Manning,,Kathy E. Manning,Ms. Manning,0,D,D,NC,North Carolina,6th,Greensboro,CHOB,415,20515,3306,(202) 225-3065,20201103,20210103
NC07,R000603,"ROUZER,DAVID","Rouzer, David",Mr.,David,,Rouzer,,David Rouzer,Mr. Rouzer,116,R,R,NC,North Carolina,7th,Wilmington,RHOB,2333,20515,3307,(202) 225-2731,20201103,20210103
NC08,H001067,"HUDSON,RICHARD","Hudson, Richard",Mr.,Richard,,Hudson,,Richard Hudson,Mr. Hudson,116,R,R,NC,North Carolina,8th,Southern Pines,RHOB,2112,20515,3308,(202) 225-3715,20201103,20210103
NC09,B001311,"BISHOP,DAN","Bishop, Dan",Mr.,Dan,,Bishop,,Dan Bishop,Mr. Bishop of North Carolina,116,R,R,NC,North Carolina,9th,Charlotte,LHOB,1207,20515,3309,(202) 225-1976,20201103,20210103
NC10,M001156,"MCHENRY,PATRICK","McHenry, Patrick",Mr.,Patrick,T.,McHenry,,Patrick T. McHenry,Mr. McHenry,116,R,R,NC,North Carolina,10th,Lake Norman,RHOB,2004,20515,3310,(202) 225-2576,20201103,20210103
NC11,C001104,"CAWTHORN,MADISON","Cawthorn, Madison",Mr.,Madison,,Cawthorn,,Madison Cawthorn,Mr. Cawthorn,0,R,R,NC,North Carolina,11th,Hendersonville,CHOB,102,20515,3311,(202) 225-6401,20201103,20210103
NC12,A000370,"ADAMS,ALMA","Adams, Alma",Ms.,Alma,S.,Adams,,Alma S. Adams,Ms. Adams,116,D,D,NC,North Carolina,12th,Charlotte,RHOB,2436,20515,3312,(202) 225-1510,20201103,20210103
NC13,B001305,"BUDD,TED","Budd, Ted",Mr.,Ted,,Budd,,Ted Budd,Mr. Budd,116,R,R,NC,North Carolina,13th,Raleigh,CHOB,103,20515,3313,(202) 225-4531,20201103,20210103
ND00,A000377,"ARMSTRONG,KELLY","Armstrong, Kelly",Mr.,Kelly,,Armstrong,,Kelly Armstrong,Mr. Armstrong,116,R,R,ND,North Dakota,At Large,Bismarck,LHOB,1740,20515,3400,(202) 225-2611,20201103,20210103
NE01,F000474,"FLOOD,MIKE","Flood, Mike",Mr.,Mike,,Flood,,Mike Flood,Mr. Flood,0,R,R,NE,Nebraska,1st,Norfolk,LHOB,1514,20515,2701,(202) 225-4806,20220628,20220712
NE02,B001298,"BACON,DON","Bacon, Don",Mr.,Don,,Bacon,,Don Bacon,Mr. Bacon,116,R,R,NE,Nebraska,2nd,Papillion,LHOB,1024,20515,2702,(202) 225-4155,20201103,20210103
NE03,S001172,"SMITH,ADRIAN","Smith, Adrian",Mr.,Adrian,,Smith,,Adrian Smith,Mr. Smith of Nebraska,116,R,R,NE,Nebraska,3rd,Gering,CHOB,502,20515,2703,(202) 225-6435,20201103,20210103
NH01,P000614,"PAPPAS,CHRIS","Pappas, Chris",Mr.,Chris,,Pappas,,Chris Pappas,Mr. Pappas,116,D,D,NH,New Hampshire,1st,Manchester,CHOB,319,20515,2901,(202) 225-5456,20201103,20210103
NH02,K000382,"KUSTER,ANN","Kuster, Ann",Ms.,Ann,M.,Kuster,,Ann Kuster,Ms. Kuster,116,D,D,NH,New Hampshire,2nd,Hopkinton,CHOB,320,20515,2902,(202) 225-5206,20201103,20210103
NJ01,N000188,"NORCROSS,DONALD","Norcross, Donald",Mr.,Donald,,Norcross,,Donald Norcross,Mr. Norcross,116,D,D,NJ,New Jersey,1st,Camden City,RHOB,2427,20515,3001,(202) 225-6501,20201103,20210103
NJ02,V000133,"VANDREW,JEFFERSON","Van Drew, Jefferson",Mr.,Jefferson,,Van Drew,,Jefferson Van Drew,Mr. Van Drew,116,R,R,NJ,New Jersey,2nd,Dennis Township,RHOB,2447,20515,3002,(202) 225-6572,20201103,20210103
NJ03,K000394,"KIM,ANDY","Kim, Andy",Mr.,Andy,,Kim,,Andy Kim,Mr. Kim of New Jersey,116,D,D,NJ,New Jersey,3rd,Moorestown,RHOB,2444,20515,3003,(202) 225-4765,20201103,20210103
NJ04,S000522,"SMITH,CHRISTOPHER","Smith, Christopher",Mr.,Christopher,H.,Smith,,Christopher H. Smith,Mr. Smith of New Jersey,116,R,R,NJ,New Jersey,4th,Manchester,RHOB,2373,20515,3004,(202) 225-3765,20201103,20210103
NJ05,G000583,"GOTTHEIMER,JOSH","Gottheimer, Josh",Mr.,Josh,,Gottheimer,,Josh Gottheimer,Mr. Gottheimer,116,D,D,NJ,New Jersey,5th,Wyckoff,CHOB,203,20515,3005,(202) 225-4465,20201103,20210103
NJ06,P000034,"PALLONE,FRANK","Pallone, Frank",Mr.,Frank,,Pallone,Jr.,"Frank Pallone, Jr.",Mr. Pallone,116,D,D,NJ,New Jersey,6th,Long Branch,RHOB,2107,20515,3006,(202) 225-4671,20201103,20210103
NJ07,M001203,"MALINOWSKI,TOM","Malinowski, Tom",Mr.,Tom,,Malinowski,,Tom Malinowski,Mr. Malinowski,116,D,D,NJ,New Jersey,7th,Rocky Hill,LHOB,1318,20515,3007,(202) 225-5361,20201103,20210103
NJ08,S001165,"SIRES,ALBIO","Sires, Albio",Mr.,Albio,,Sires,,Albio Sires,Mr. Sires,116,D,D,NJ,New Jersey,8th,West New York,RHOB,2268,20515,3008,(202) 225-7919,20201103,20210103
NJ09,P000096,"PASCRELL,BILL","Pascrell, Bill",Mr.,Bill,,Pascrell,Jr.,"Bill Pascrell, Jr.",Mr. Pascrell,116,D,D,NJ,New Jersey,9th,Paterson,RHOB,2409,20515,3009,(202) 225-5751,20201103,20210103
NJ10,P000604,"PAYNE,DONALD","Payne, Donald",Mr.,Donald,M.,Payne,Jr.,"Donald M. Payne, Jr.",Mr. Payne,116,D,D,NJ,New Jersey,10th,Newark,CHOB,106,20515,3010,(202) 225-3436,20201103,20210103
NJ11,S001207,"SHERRILL,MIKIE","Sherrill, Mikie",Ms.,Mikie,,Sherrill,,Mikie Sherrill,Ms. Sherrill,116,D,D,NJ,New Jersey,11th,Montclair,LHOB,1414,20515,3011,(202) 225-5034,20201103,20210103
NJ12,W000822,"WATSONCOLEMAN,BONNIE","Watson Coleman, Bonnie",Mrs.,Bonnie,,Watson Coleman,,Bonnie Watson Coleman,Mrs. Watson Coleman,116,D,D,NJ,New Jersey,12th,Ewing Township,CHOB,168,20515,3012,(202) 225-5801,20201103,20210103
NM01,S001218,"STANSBURY,MELANIE","Stansbury, Melanie",Ms.,Melanie,A.,Stansbury,,Melanie A. Stansbury,Ms. Stansbury,0,D,D,NM,New Mexico,1st,Albuquerque,LHOB,1421,20515,3101,(202) 225-6316,20210601,20210614
NM02,H001084,"HERRELL,YVETTE","Herrell, Yvette",Ms.,Yvette,,Herrell,,Yvette Herrell,Ms. Herrell,0,R,R,NM,New Mexico,2nd,Alamogordo,LHOB,1305,20515,3102,(202) 225-2365,20201103,20210103
NM03,L000273,"LEGERFERNANDEZ,TERESA","Leger Fernandez, Teresa",Ms.,Teresa,,Leger Fernandez,,Teresa Leger Fernandez,Ms. Leger Fernandez,0,D,D,NM,New Mexico,3rd,Santa Fe,LHOB,1432,20515,3103,(202) 225-6190,20201103,20210103
NV01,T000468,"TITUS,DINA","Titus, Dina",Ms.,Dina,,Titus,,Dina Titus,Ms. Titus,116,D,D,NV,Nevada,1st,Las Vegas,RHOB,2464,20515,2801,(202) 225-5965,20201103,20210103
NV02,A000369,"AMODEI,MARK","Amodei, Mark",Mr.,Mark,E.,Amodei,,Mark E. Amodei,Mr. Amodei,116,R,R,NV,Nevada,2nd,Carson City,CHOB,104,20515,2802,(202) 225-6155,20201103,20210103
NV03,L000590,"LEE,SUSIE","Lee, Susie",Mrs.,Susie,,Lee,,Susie Lee,Mrs. Lee of Nevada,116,D,D,NV,Nevada,3rd,Las Vegas,CHOB,365,20515,2803,(202) 225-3252,20201103,20210103
NV04,H001066,"HORSFORD,STEVEN","Horsford, Steven",Mr.,Steven,,Horsford,,Steven Horsford,Mr. Horsford,116,D,D,NV,Nevada,4th,Las Vegas,CHOB,562,20515,2804,(202) 225-9894,20201103,20210103
NY01,Z000017,"ZELDIN,LEE","Zeldin, Lee",Mr.,Lee,M.,Zeldin,,Lee M. Zeldin,Mr. Zeldin,116,R,R,NY,New York,1st,Shirley,RHOB,2441,20515,3201,(202) 225-3826,20201103,20210103
NY02,G000597,"GARBARINO,ANDREW","Garbarino, Andrew",Mr.,Andrew,R.,Garbarino,,Andrew R. Garbarino,Mr. Garbarino,0,R,R,NY,New York,2nd,Bayport,LHOB,1516,20515,3202,(202) 225-7896,20201103,20210103
NY03,S001201,"SUOZZI,THOMAS","Suozzi, Thomas",Mr.,Thomas,R.,Suozzi,,Thomas R. Suozzi,Mr. Suozzi,116,D,D,NY,New York,3rd,Glen Cove,CHOB,407,20515,3203,(202) 225-3335,20201103,20210103
NY04,R000602,"RICE,KATHLEEN","Rice, Kathleen",Miss,Kathleen,M.,Rice,,Kathleen M. Rice,Miss Rice of New York,116,D,D,NY,New York,4th,Garden City,RHOB,2435,20515,3204,(202) 225-5516,20201103,20210103
NY05,M001137,"MEEKS,GREGORY","Meeks, Gregory",Mr.,Gregory,W.,Meeks,,Gregory W. Meeks,Mr. Meeks,116,D,D,NY,New York,5th,Queens,RHOB,2310,20515,3205,(202) 225-3461,20201103,20210103
NY06,M001188,"MENG,GRACE","Meng, Grace",Ms.,Grace,,Meng,,Grace Meng,Ms. Meng,116,D,D,NY,New York,6th,Queens,RHOB,2209,20515,3206,(202) 225-2601,20201103,20210103
NY07,V000081,"VELAZQUEZ,NYDIA","Velázquez, Nydia",Ms.,Nydia,M.,Velázquez,,Nydia M. Velázquez,Ms. Velázquez,116,D,D,NY,New York,7th,Brooklyn,RHOB,2302,20515,3207,(202) 225-2361,20201103,20210103
NY08,J000294,"JEFFRIES,HAKEEM","Jeffries, Hakeem",Mr.,Hakeem,S.,Jeffries,,Hakeem S. Jeffries,Mr. Jeffries,116,D,D,NY,New York,8th,Brooklyn,RHOB,2433,20515,3208,(202) 225-5936,20201103,20210103
NY09,C001067,"CLARKE,YVETTE","Clarke, Yvette",Ms.,Yvette,D.,Clarke,,Yvette D. Clarke,Ms. Clarke of New York,116,D,D,NY,New York,9th,Brooklyn,RHOB,2058,20515,3209,(202) 225-6231,20201103,20210103
NY10,N000002,"NADLER,JERROLD","Nadler, Jerrold",Mr.,Jerrold,,Nadler,,Jerrold Nadler,Mr. Nadler,116,D,D,NY,New York,10th,New York,RHOB,2132,20515,3210,(202) 225-5635,20201103,20210103
NY11,M000317,"MALLIOTAKIS,NICOLE","Malliotakis, Nicole",Ms.,Nicole,,Malliotakis,,Nicole Malliotakis,Ms. Malliotakis,0,R,R,NY,New York,11th,Staten Island,CHOB,417,20515,3211,(202) 225-3371,20201103,20210103
NY12,M000087,"MALONEY,CAROLYN","Maloney, Carolyn",Mrs.,Carolyn,B.,Maloney,,Carolyn B. Maloney,Mrs. Carolyn B. Maloney of New York,116,D,D,NY,New York,12th,New York,RHOB,2308,20515,3212,(202) 225-7944,20201103,20210103
NY13,E000297,"ESPAILLAT,ADRIANO","Espaillat, Adriano",Mr.,Adriano,,Espaillat,,Adriano Espaillat,Mr. Espaillat,116,D,D,NY,New York,13th,New York,RHOB,2332,20515,3213,(202) 225-4365,20201103,20210103
NY14,O000172,"OCASIOCORTEZ,ALEXANDRIA","Ocasio-Cortez, Alexandria",Ms.,Alexandria,,Ocasio-Cortez,,Alexandria Ocasio-Cortez,Ms. Ocasio-Cortez,116,D,D,NY,New York,14th,Bronx,CHOB,216,20515,3214,(202) 225-3965,20201103,20210103
NY15,T000486,"TORRES,RITCHIE","Torres, Ritchie",Mr.,Ritchie,,Torres,,Ritchie Torres,Mr. Torres of New York,0,D,D,NY,New York,15th,Bronx,CHOB,317,20515,3215,(202) 225-4361,20201103,20210103
NY16,B001223,"BOWMAN,JAMAAL","Bowman, Jamaal",Mr.,Jamaal,,Bowman,,Jamaal Bowman,Mr. Bowman,0,D,D,NY,New York,16th,Yonkers,LHOB,1605,20515,3216,(202) 225-2464,20201103,20210103
NY17,J000306,"JONES,MONDAIRE","Jones, Mondaire",Mr.,Mondaire,,Jones,,Mondaire Jones,Mr. Jones,0,D,D,NY,New York,17th,Westchester County,LHOB,1017,20515,3217,(202) 225-6506,20201103,20210103
NY18,M001185,"MALONEY,SEAN","Maloney, Sean",Mr.,Sean,Patrick,Maloney,,Sean Patrick Maloney,Mr. Sean Patrick Maloney of New York,116,D,D,NY,New York,18th,Cold Spring,CHOB,464,20515,3218,(202) 225-5441,20201103,20210103
NY19,R000579,"RYAN,PATRICK","Ryan, Patrick",Mr.,Patrick,,Ryan,,Patrick Ryan,Mr. Ryan of New York,109,D,D,NY,New York,19th,Gardiner,LHOB,1007,20515,3219,(202) 225-5614,20220823,20220913
NY20,T000469,"TONKO,PAUL","Tonko, Paul",Mr.,Paul,,Tonko,,Paul Tonko,Mr. Tonko,116,D,D,NY,New York,20th,Amsterdam,RHOB,2369,20515,3220,(202) 225-5076,20201103,20210103
NY21,S001196,"STEFANIK,ELISE","Stefanik, Elise",Ms.,Elise,M.,Stefanik,,Elise M. Stefanik,Ms. Stefanik,116,R,R,NY,New York,21st,Schuylerville,RHOB,2211,20515,3221,(202) 225-4611,20201103,20210103
NY22,T000478,"TENNEY,CLAUDIA","Tenney, Claudia",Ms.,Claudia,,Tenney,,Claudia Tenney,Ms. Tenney,115,R,R,NY,New York,22nd,Canandaigua,LHOB,1410,20515,3222,(202) 225-3665,20201103,20210211
NY23,S001219,"SEMPOLINSKI,JOSEPH","Sempolinski, Joseph",Mr.,Joseph,,Sempolinski,,Joseph Sempolinski,Mr. Sempolinski,0,R,R,NY,New York,23rd,Canisteo,LHOB,1203,20515,3223,(202) 225-3161,20220823,20220913
NY24,K000386,"KATKO,JOHN","Katko, John",Mr.,John,,Katko,,John Katko,Mr. Katko,116,R,R,NY,New York,24th,Syracuse,RHOB,2428,20515,3224,(202) 225-3701,20201103,20210103
NY25,M001206,"MORELLE,JOSEPH","Morelle, Joseph",Mr.,Joseph,D.,Morelle,,Joseph D. Morelle,Mr. Morelle,116,D,D,NY,New York,25th,Irondequoit,LHOB,1317,20515,3225,(202) 225-3615,20201103,20210103
NY26,H001038,"HIGGINS,BRIAN","Higgins, Brian",Mr.,Brian,,Higgins,,Brian Higgins,Mr. Higgins of New York,116,D,D,NY,New York,26th,Buffalo,RHOB,2459,20515,3226,(202) 225-3306,20201103,20210103
NY27,J000020,"JACOBS,CHRIS","Jacobs, Chris",Mr.,Chris,,Jacobs,,Chris Jacobs,Mr. Jacobs of New York,116,R,R,NY,New York,27th,Orchard Park,CHOB,214,20515,3227,(202) 225-5265,20201103,20210103
OH01,C000266,"CHABOT,STEVE","Chabot, Steve",Mr.,Steve,,Chabot,,Steve Chabot,Mr. Chabot,116,R,R,OH,Ohio,1st,Cincinnati,RHOB,2408,20515,3501,(202) 225-2216,20201103,20210103
OH02,W000815,"WENSTRUP,BRAD","Wenstrup, Brad",Mr.,Brad,R.,Wenstrup,,Brad R. Wenstrup,Mr. Wenstrup,116,R,R,OH,Ohio,2nd,Hillsboro,RHOB,2419,20515,3502,(202) 225-3164,20201103,20210103
OH03,B001281,"BEATTY,JOYCE","Beatty, Joyce",Mrs.,Joyce,,Beatty,,Joyce Beatty,Mrs. Beatty,116,D,D,OH,Ohio,3rd,Columbus,RHOB,2303,20515,3503,(202) 225-4324,20201103,20210103
OH04,J000289,"JORDAN,JIM","Jordan, Jim",Mr.,Jim,,Jordan,,Jim Jordan,Mr. Jordan,116,R,R,OH,Ohio,4th,Urbana,RHOB,2056,20515,3504,(202) 225-2676,20201103,20210103
OH05,L000566,"LATTA,ROBERT","Latta, Robert",Mr.,Robert,E.,Latta,,Robert E. Latta,Mr. Latta,116,R,R,OH,Ohio,5th,Bowling Green,RHOB,2467,20515,3505,(202) 225-6405,20201103,20210103
OH06,J000292,"JOHNSON,BILL","Johnson, Bill",Mr.,Bill,,Johnson,,Bill Johnson,Mr. Johnson of Ohio,116,R,R,OH,Ohio,6th,Marietta,RHOB,2336,20515,3506,(202) 225-5705,20201103,20210103
OH07,G000563,"GIBBS,BOB","Gibbs, Bob",Mr.,Bob,,Gibbs,,Bob Gibbs,Mr. Gibbs,116,R,R,OH,Ohio,7th,Lakeville,RHOB,2217,20515,3507,(202) 225-6265,20201103,20210103
OH08,D000626,"DAVIDSON,WARREN","Davidson, Warren",Mr.,Warren,,Davidson,,Warren Davidson,Mr. Davidson,116,R,R,OH,Ohio,8th,Troy,RHOB,2113,20515,3508,(202) 225-6205,20201103,20210103
OH09,K000009,"KAPTUR,MARCY","Kaptur, Marcy",Ms.,Marcy,,Kaptur,,Marcy Kaptur,Ms. Kaptur,116,D,D,OH,Ohio,9th,Toledo,RHOB,2186,20515,3509,(202) 225-4146,20201103,20210103
OH10,T000463,"TURNER,MICHAEL","Turner, Michael",Mr.,Michael,R.,Turner,,Michael R. Turner,Mr. Turner,116,R,R,OH,Ohio,10th,Dayton,RHOB,2082,20515,3510,(202) 225-6465,20201103,20210103
OH11,B001313,"BROWN,SHONTEL","Brown, Shontel",Ms.,Shontel,M.,Brown,,Shontel M. Brown,Ms. Brown of Ohio,0,D,D,OH,Ohio,11th,Warrensville Heights,RHOB,2344,20515,3511,(202) 225-7032,20211102,20211104
OH12,B001306,"BALDERSON,TROY","Balderson, Troy",Mr.,Troy,,Balderson,,Troy Balderson,Mr. Balderson,116,R,R,OH,Ohio,12th,Zanesville,RHOB,2429,20515,3512,(202) 225-5355,20201103,20210103
OH13,R000577,"RYAN,TIM","Ryan, Tim",Mr.,Tim,,Ryan,,Tim Ryan,Mr. Ryan of Ohio,116,D,D,OH,Ohio,13th,Warren,LHOB,1126,20515,3513,(202) 225-5261,20201103,20210103
OH14,J000295,"JOYCE,DAVID","Joyce, David",Mr.,David,P.,Joyce,,David P. Joyce,Mr. Joyce of Ohio,116,R,R,OH,Ohio,14th,South Russell Village,RHOB,2065,20515,3514,(202) 225-5731,20201103,20210103
OH15,C001126,"CAREY,MIKE","Carey, Mike",Mr.,Mike,,Carey,,Mike Carey,Mr. Carey,0,R,R,OH,Ohio,15th,Columbus,RHOB,2234,20515,3515,(202) 225-2015,20211102,20211104
OH16,G000588,"GONZALEZ,ANTHONY","Gonzalez, Anthony",Mr.,Anthony,,Gonzalez,,Anthony Gonzalez,Mr. Gonzalez of Ohio,116,R,R,OH,Ohio,16th,Rocky River,RHOB,2458,20515,3516,(202) 225-3876,20201103,20210103
OK01,H001082,"HERN,KEVIN","Hern, Kevin",Mr.,Kevin,,Hern,,Kevin Hern,Mr. Hern,116,R,R,OK,Oklahoma,1st,Tulsa,LHOB,1019,20515,3601,(202) 225-2211,20201103,20210103
OK02,M001190,"MULLIN,MARKWAYNE","Mullin, Markwayne",Mr.,Markwayne,,Mullin,,Markwayne Mullin,Mr. Mullin,116,R,R,OK,Oklahoma,2nd,Westville,RHOB,2421,20515,3602,(202) 225-2701,20201103,20210103
OK03,L000491,"LUCAS,FRANK","Lucas, Frank",Mr.,Frank,D.,Lucas,,Frank D. Lucas,Mr. Lucas,116,R,R,OK,Oklahoma,3rd,Cheyenne,RHOB,2405,20515,3603,(202) 225-5565,20201103,20210103
OK04,C001053,"COLE,TOM","Cole, Tom",Mr.,Tom,,Cole,,Tom Cole,Mr. Cole,116,R,R,OK,Oklahoma,4th,Moore,RHOB,2207,20515,3604,(202) 225-6165,20201103,20210103
OK05,B000740,"BICE,STEPHANIE","Bice, Stephanie",Mrs.,Stephanie,I.,Bice,,Stephanie I. Bice,Mrs. Bice of Oklahoma,0,R,R,OK,Oklahoma,5th,Oklahoma City,LHOB,1223,20515,3605,(202) 225-2132,20201103,20210103
OR01,B001278,"BONAMICI,SUZANNE","Bonamici, Suzanne",Ms.,Suzanne,,Bonamici,,Suzanne Bonamici,Ms. Bonamici,116,D,D,OR,Oregon,1st,Washington County,RHOB,2231,20515,3701,(202) 225-0855,20201103,20210103
OR02,B000668,"BENTZ,CLIFF","Bentz, Cliff",Mr.,Cliff,,Bentz,,Cliff Bentz,Mr. Bentz,0,R,R,OR,Oregon,2nd,Ontario,LHOB,1239,20515,3702,(202) 225-6730,20201103,20210103
OR03,B000574,"BLUMENAUER,EARL","Blumenauer, Earl",Mr.,Earl,,Blumenauer,,Earl Blumenauer,Mr. Blumenauer,116,D,D,OR,Oregon,3rd,Portland,LHOB,1111,20515,3703,(202) 225-4811,20201103,20210103
OR04,D000191,"DEFAZIO,PETER","DeFazio, Peter",Mr.,Peter,A.,DeFazio,,Peter A. DeFazio,Mr. DeFazio,116,D,D,OR,Oregon,4th,Springfield,RHOB,2134,20515,3704,(202) 225-6416,20201103,20210103
OR05,S001180,"SCHRADER,KURT","Schrader, Kurt",Mr.,Kurt,,Schrader,,Kurt Schrader,Mr. Schrader,116,D,D,OR,Oregon,5th,Canby,RHOB,2431,20515,3705,(202) 225-5711,20201103,20210103
PA01,F000466,"FITZPATRICK,BRIAN","Fitzpatrick, Brian",Mr.,Brian,K.,Fitzpatrick,,Brian K. Fitzpatrick,Mr. Fitzpatrick,116,R,R,PA,Pennsylvania,1st,Levittown,CHOB,271,20515,3801,(202) 225-4276,20201103,20210103
PA02,B001296,"BOYLE,BRENDAN","Boyle, Brendan",Mr.,Brendan,F.,Boyle,,Brendan F. Boyle,Mr. Brendan F. Boyle of Pennsylvania,116,D,D,PA,Pennsylvania,2nd,Philadelphia,LHOB,1133,20515,3802,(202) 225-6111,20201103,20210103
PA03,E000296,"EVANS,DWIGHT","Evans, Dwight",Mr.,Dwight,,Evans,,Dwight Evans,Mr. Evans,116,D,D,PA,Pennsylvania,3rd,Philadelphia,LHOB,1105,20515,3803,(202) 225-4001,20201103,20210103
PA04,D000631,"DEAN,MADELEINE","Dean, Madeleine",Ms.,Madeleine,,Dean,,Madeleine Dean,Ms. Dean,116,D,D,PA,Pennsylvania,4th,Bala Cynwyd,CHOB,120,20515,3804,(202) 225-4731,20201103,20210103
PA05,S001205,"SCANLON,MARY","Scanlon, Mary",Ms.,Mary,Gay,Scanlon,,Mary Gay Scanlon,Ms. Scanlon,116,D,D,PA,Pennsylvania,5th,Swarthmore,LHOB,1227,20515,3805,(202) 225-2011,20201103,20210103
PA06,H001085,"HOULAHAN,CHRISSY","Houlahan, Chrissy",Ms.,Chrissy,,Houlahan,,Chrissy Houlahan,Ms. Houlahan,116,D,D,PA,Pennsylvania,6th,Devon,LHOB,1218,20515,3806,(202) 225-4315,20201103,20210103
PA07,W000826,"WILD,SUSAN","Wild, Susan",Ms.,Susan,,Wild,,Susan Wild,Ms. Wild,116,D,D,PA,Pennsylvania,7th,Allentown,LHOB,1027,20515,3807,(202) 225-6411,20201103,20210103
PA08,C001090,"CARTWRIGHT,MATT","Cartwright, Matt",Mr.,Matt,,Cartwright,,Matt Cartwright,Mr. Cartwright,116,D,D,PA,Pennsylvania,8th,Moosic,RHOB,2102,20515,3808,(202) 225-5546,20201103,20210103
PA09,M001204,"MEUSER,DANIEL","Meuser, Daniel",Mr.,Daniel,,Meuser,,Daniel Meuser,Mr. Meuser,116,R,R,PA,Pennsylvania,9th,Dallas,CHOB,414,20515,3809,(202) 225-6511,20201103,20210103
PA10,P000605,"PERRY,SCOTT","Perry, Scott",Mr.,Scott,,Perry,,Scott Perry,Mr. Perry,116,R,R,PA,Pennsylvania,10th,Dillsburg,RHOB,2160,20515,3810,(202) 225-5836,20201103,20210103
PA11,S001199,"SMUCKER,LLOYD","Smucker, Lloyd",Mr.,Lloyd,,Smucker,,Lloyd Smucker,Mr. Smucker,116,R,R,PA,Pennsylvania,11th,Lancaster,CHOB,302,20515,3811,(202) 225-2411,20201103,20210103
PA12,K000395,"KELLER,FRED","Keller, Fred",Mr.,Fred,,Keller,,Fred Keller,Mr. Keller,116,R,R,PA,Pennsylvania,12th,Middleburg,LHOB,1717,20515,3812,(202) 225-3731,20201103,20210103
PA13,J000302,"JOYCE,JOHN","Joyce, John",Mr.,John,,Joyce,,John Joyce,Mr. Joyce of Pennsylvania,116,R,R,PA,Pennsylvania,13th,Hollidaysburg,LHOB,1221,20515,3813,(202) 225-2431,20201103,20210103
PA14,R000610,"RESCHENTHALER,GUY","Reschenthaler, Guy",Mr.,Guy,,Reschenthaler,,Guy Reschenthaler,Mr. Reschenthaler,116,R,R,PA,Pennsylvania,14th,Peters Township,CHOB,409,20515,3814,(202) 225-2065,20201103,20210103
